Month,"Natural Gas Price, Wellhead","Natural Gas Price, Citygate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
,(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent)
1994 December,1.88,2.86,6.06,Not Available,5.24,82.1,2.99,25.8,Not Available,2.17,Not Available
1995 January,1.62,2.79,5.85,Not Available,5.23,81.6,2.95,27.3,Not Available,2.13,Not Available
1995 February,1.48,2.71,5.76,Not Available,5.14,81.7,2.85,27.4,Not Available,2,Not Available
1995 March,1.47,2.74,5.84,Not Available,5.12,81.2,2.74,26.5,Not Available,1.92,Not Available
1995 April,1.52,2.72,6.06,Not Available,5.08,77.2,2.57,25.4,Not Available,1.97,Not Available
1995 May,1.55,2.8,6.54,Not Available,5.04,71.8,2.54,23.6,Not Available,2.06,Not Available
1995 June,1.58,2.89,7.49,Not Available,5.16,71.4,2.44,24.5,Not Available,2.06,Not Available
1995 July,1.43,2.89,7.82,Not Available,5.03,67.3,2.34,22.2,Not Available,1.9,Not Available
1995 August,1.43,2.87,8.13,Not Available,4.99,66.6,2.26,21.8,Not Available,1.84,Not Available
1995 September,1.52,2.89,7.73,Not Available,4.98,67.9,2.42,22,Not Available,1.95,Not Available
1995 October,1.54,2.83,6.62,Not Available,4.82,69.7,2.44,22.5,Not Available,2.09,Not Available
1995 November,1.61,2.67,5.61,Not Available,4.77,75.6,2.68,24.7,Not Available,2.22,Not Available
1995 December,1.84,2.83,5.54,Not Available,5,79.2,3.07,25,Not Available,2.58,Not Available
1996 January,2.05,3.14,5.64,Not Available,5.29,83.2,3.61,22,Not Available,2.87,Not Available
1996 February,1.89,3.16,5.82,Not Available,5.25,83.3,3.61,22.7,Not Available,3.07,Not Available
1996 March,1.95,3.17,5.93,Not Available,5.36,81.8,3.52,22.3,Not Available,2.73,Not Available
1996 April,2.08,3.22,6.27,Not Available,5.34,79.5,3.42,20.5,Not Available,2.68,Not Available
1996 May,2.01,3.18,6.84,Not Available,5.4,74.6,3.14,18.7,Not Available,2.52,Not Available
1996 June,2.08,3.41,7.83,Not Available,5.43,70,3.13,16.7,Not Available,2.59,Not Available
1996 July,2.25,3.49,8.64,Not Available,5.46,67.8,3.17,18.6,Not Available,2.69,Not Available
1996 August,2.1,3.46,8.73,Not Available,5.56,66.3,3.05,17.4,Not Available,2.57,Not Available
1996 September,1.85,3.05,7.99,Not Available,5.46,67.1,2.77,16.9,Not Available,2.24,Not Available
1996 October,1.94,2.94,7.05,Not Available,5.33,69.1,2.89,17.2,Not Available,2.37,Not Available
1996 November,2.5,3.46,6.37,Not Available,5.4,75.7,3.57,18.5,Not Available,3.04,Not Available
1996 December,3.26,4.18,6.47,Not Available,5.78,78.1,4.2,20,Not Available,3.98,Not Available
1997 January,3.4,4.28,6.74,Not Available,6.19,78.7,4.6,17.5,Not Available,4.06,Not Available
1997 February,2.49,3.76,6.79,Not Available,6.14,78.3,4.18,17.8,Not Available,2.97,Not Available
1997 March,1.79,3.07,6.52,Not Available,5.73,73.9,3.34,17.9,Not Available,2.29,Not Available
1997 April,1.81,2.92,6.53,Not Available,5.46,71.8,3.1,18,Not Available,2.3,Not Available
1997 May,2,3.11,6.83,Not Available,5.39,65.5,3.04,17.6,Not Available,2.41,Not Available
1997 June,2.08,3.41,8.3,Not Available,5.64,61.6,3.19,17.5,Not Available,2.52,Not Available
1997 July,2,3.44,8.78,Not Available,5.35,59.4,3.11,17.6,Not Available,2.44,Not Available
1997 August,2.08,3.34,8.99,Not Available,5.43,57.9,3,17.7,Not Available,2.53,Not Available
1997 September,2.33,3.5,8.84,Not Available,5.58,59.4,3.32,17.4,Not Available,2.96,Not Available
1997 October,2.68,3.86,7.69,Not Available,5.74,62.8,3.69,17.7,Not Available,3.24,Not Available
1997 November,2.92,4.76,6.86,Not Available,5.86,70.3,4.02,17.6,Not Available,3.41,Not Available
1997 December,2.28,3.42,6.54,Not Available,5.72,72.9,3.74,17.7,Not Available,2.77,Not Available
1998 January,1.96,3.08,6.41,Not Available,5.65,73.2,3.67,16.8,Not Available,2.64,Not Available
1998 February,1.96,3.08,6.41,Not Available,5.59,72.9,3.58,16.7,Not Available,2.51,Not Available
1998 March,2.06,3.06,6.29,Not Available,5.4,73.6,3.4,17.3,Not Available,2.53,Not Available
1998 April,2.16,3.23,6.81,Not Available,5.64,67.7,3.28,15.8,Not Available,2.59,Not Available
1998 May,2.04,3.12,7.7,Not Available,5.73,62.6,3.14,14.9,Not Available,2.47,Not Available
1998 June,1.91,2.98,8.51,Not Available,5.51,62.9,2.97,15.1,Not Available,2.4,Not Available
1998 July,2.09,3.31,8.53,Not Available,5.64,56,3.04,13.1,Not Available,2.5,Not Available
1998 August,1.82,3.01,9.25,Not Available,5.46,53.3,2.75,13.8,Not Available,2.21,Not Available
1998 September,1.7,2.78,8.96,Not Available,5.49,57,2.65,14.2,Not Available,2.15,Not Available
1998 October,1.86,2.99,7.6,Not Available,5.31,59.2,2.75,14.8,Not Available,2.22,Not Available
1998 November,1.94,2.99,6.58,Not Available,5.22,64.5,2.95,15.7,Not Available,2.37,Not Available
1998 December,1.95,3.1,6.34,Not Available,5.23,68.3,2.92,17.2,Not Available,2.22,Not Available
1999 January,1.85,2.85,6,Not Available,5.19,73.1,3.29,16.9,Not Available,2.32,Not Available
1999 February,1.77,2.92,6.29,Not Available,5.28,69.7,2.92,16.8,Not Available,2.26,Not Available
1999 March,1.7,2.77,6.06,Not Available,4.97,69.2,2.96,17.4,Not Available,2.15,Not Available
1999 April,1.9,2.88,6.44,Not Available,5.31,65.3,3,16.6,Not Available,2.29,Not Available
1999 May,2.17,3.25,7.3,Not Available,5.34,61,2.86,16,Not Available,2.57,Not Available
1999 June,2.14,3.12,8.2,Not Available,5.29,61,2.82,15.8,Not Available,2.53,Not Available
1999 July,2.2,3.11,8.83,Not Available,5.43,58.2,2.86,15.7,Not Available,2.58,Not Available
1999 August,2.51,3.39,9.14,Not Available,5.45,56.5,2.98,18.9,Not Available,2.86,Not Available
1999 September,2.62,3.59,8.63,Not Available,5.55,60,3.4,17.6,Not Available,2.98,Not Available
1999 October,2.52,3.21,7.56,Not Available,5.46,61.6,3.2,17.5,Not Available,2.83,Not Available
1999 November,2.68,3.71,7.15,Not Available,5.72,63,3.51,17.7,Not Available,3.01,Not Available
1999 December,2.24,3.19,6.51,Not Available,5.57,67.9,3.16,21.2,Not Available,2.68,Not Available
2000 January,2.6,3.27,6.37,Not Available,5.77,67.2,3.41,18.7,Not Available,2.74,Not Available
2000 February,2.73,3.48,6.54,Not Available,5.95,68.2,3.68,19.4,Not Available,2.96,Not Available
2000 March,2.66,3.54,6.91,Not Available,5.78,63.6,3.54,18.2,Not Available,3,Not Available
2000 April,2.86,3.72,7.19,Not Available,6.03,62.3,3.59,18,Not Available,3.23,Not Available
2000 May,3.04,4.15,8.26,Not Available,5.97,60.9,3.67,17,Not Available,3.63,Not Available
2000 June,3.77,5.19,9.5,Not Available,6.49,58,4.24,18.1,Not Available,4.45,Not Available
2000 July,3.84,5.2,10.32,Not Available,6.55,57,4.55,17.6,Not Available,4.35,Not Available
2000 August,3.73,4.63,10.37,Not Available,6.08,59.2,4.33,17.1,Not Available,4.27,Not Available
2000 September,4.26,5.21,10.1,Not Available,6.92,57.5,4.88,16.5,Not Available,4.85,Not Available
2000 October,4.58,5.66,9.44,Not Available,7.48,59.8,5.45,16.6,Not Available,5.17,Not Available
2000 November,4.4,5.2,8.58,Not Available,7.57,63.9,5.39,19.8,Not Available,5.37,Not Available
2000 December,5.77,6.64,8.56,Not Available,8.2,68.3,6.67,20.4,Not Available,8.23,Not Available
2001 January,6.82,8.91,10.12,Not Available,9.5,72.9,8.84,23.5,Not Available,9.55,Not Available
2001 February,5.08,7.08,10.26,Not Available,9.8,71.8,7.21,23.2,Not Available,7.18,Not Available
2001 March,4.37,6.1,9.85,Not Available,9.14,69.2,6.3,22,Not Available,5.91,Not Available
2001 April,4.52,6.3,10.16,Not Available,9.01,66.5,6.08,21,Not Available,5.82,Not Available
2001 May,4.36,5.77,11.14,Not Available,9.19,61,5.46,19.5,Not Available,5.29,Not Available
2001 June,3.79,5.38,11.58,Not Available,8.5,59.6,4.75,19.2,Not Available,4.37,Not Available
2001 July,3.35,4.03,11.22,Not Available,7.9,54.6,4.1,20.2,Not Available,3.85,Not Available
2001 August,3.33,4.32,10.89,Not Available,7.61,53.9,3.99,19.6,Not Available,3.65,Not Available
2001 September,2.93,3.66,10.17,Not Available,6.96,54,3.5,19.8,Not Available,3.03,Not Available
2001 October,2.78,3.37,8.24,Not Available,6.39,60.1,3.18,20.3,Not Available,2.78,Not Available
2001 November,3.41,4.02,7.98,Not Available,6.79,65,3.88,20.2,Not Available,3.33,Not Available
2001 December,3.42,3.9,7.3,Not Available,6.35,68.1,3.69,20.7,Not Available,3.15,Not Available
2002 January,2.5,3.79,7.38,98.3,6.51,79.8,4.05,20.3,Not Available,3.1,79.7
2002 February,2.19,3.76,7.23,98.5,6.4,80.7,3.7,20.5,Not Available,2.86,86.2
2002 March,2.4,3.84,7.1,98.4,6.28,81.5,3.78,20.2,Not Available,3.37,84.7
2002 April,2.94,4.21,7.66,98.1,6.56,76.8,3.64,26.3,Not Available,3.8,84
2002 May,2.94,4.07,8.54,97.6,6.68,73,4.07,23.9,Not Available,3.78,84.4
2002 June,2.96,4.15,9.58,97.9,6.8,73.2,3.86,25.5,Not Available,3.61,82.6
2002 July,2.92,3.95,10.31,97.5,6.62,71.2,3.8,24,Not Available,3.49,80.3
2002 August,2.76,3.67,10.44,98,6.45,71.6,3.62,22.5,Not Available,3.42,82.8
2002 September,2.97,3.99,10.23,97.5,6.54,69.5,3.89,22.5,Not Available,3.71,84.2
2002 October,3.24,4.32,8.61,96.7,6.64,73.2,4.18,21.7,Not Available,4.19,85.5
2002 November,3.59,4.65,7.99,97.2,6.89,78.7,4.72,21.8,Not Available,4.35,86.7
2002 December,3.96,4.74,7.87,97.5,7.16,79.6,4.92,23.1,Not Available,4.72,91.8
2003 January,4.43,5.28,8.18,97.3,7.48,79.9,5.65,21.4,Not Available,5.33,89.4
2003 February,5.05,5.83,8.58,97.6,7.98,80.7,6.4,22.1,Not Available,6.47,89.7
2003 March,6.96,7.63,9.77,97.4,9.2,80.8,8.27,21.3,Not Available,7.05,90.9
2003 April,4.47,5.6,10.18,97.6,8.97,77.9,5.96,20.9,Not Available,5.38,90.7
2003 May,4.77,5.69,10.79,97.6,8.71,74.2,5.78,20.3,Not Available,5.7,94.2
2003 June,5.41,6.4,12.08,97.9,9,74.7,6.59,19.1,Not Available,6.08,91.8
2003 July,5.08,5.83,12.75,97.7,8.73,72.4,5.69,24.7,Not Available,5.45,92.4
2003 August,4.46,5.48,12.84,97.8,8.4,74.5,5.28,22.9,Not Available,5.23,90.2
2003 September,4.59,5.58,12.31,97.6,8.41,73.5,5.32,22.9,Not Available,5.12,91.3
2003 October,4.32,5.33,10.64,96.9,8.28,74.6,4.93,23.3,Not Available,4.98,90.9
2003 November,4.26,5.54,9.77,97.3,8.36,78,5.19,22.7,Not Available,4.85,91.3
2003 December,4.76,5.89,9.51,97.5,8.62,80.5,5.9,23.5,Not Available,5.69,91.5
2004 January,5.21,6.41,9.71,97.6,9.06,81.6,6.72,23.1,Not Available,6.37,90.1
2004 February,5.02,6.35,9.85,97.9,9.1,81.7,6.52,23.6,Not Available,5.76,88.7
2004 March,5.12,6.23,10.03,97.6,9.05,79.2,5.97,22.8,Not Available,5.5,91.4
2004 April,5.03,6.31,10.54,97.9,9.02,77.7,6.06,23.3,Not Available,5.74,92.5
2004 May,5.4,6.48,11.63,97.4,9.23,73.8,6.34,23.4,Not Available,6.3,89.5
2004 June,5.82,6.94,13.08,98.1,9.71,72.2,6.82,25,Not Available,6.52,89.4
2004 July,5.62,6.68,13.54,98.1,9.65,71.7,6.41,24.9,Not Available,6.24,90.3
2004 August,5.52,6.51,13.74,98,9.66,71,6.36,24,Not Available,5.97,89.7
2004 September,5.06,6.06,13.31,97.8,9.26,71.4,5.68,22.8,Not Available,5.39,89.2
2004 October,5.43,6.3,11.69,97.7,9.17,73.3,6.03,22.6,Not Available,6.05,90.4
2004 November,6.21,7.5,11.44,97.6,10.21,78,7.64,23.5,Not Available,6.71,87.9
2004 December,6.01,7.49,11.09,97.8,10.42,80.3,7.54,24.5,Not Available,6.88,88
2005 January,5.8,7.05,10.9,98.1,10.02,84.8,7.06,24.8,Not Available,6.72,93
2005 February,5.73,7.09,10.87,98.3,9.83,85,7.15,24.3,Not Available,6.42,93.4
2005 March,5.95,7.24,10.84,98.2,9.91,84.4,7.12,24.6,Not Available,6.84,92.8
2005 April,6.57,7.79,11.88,98.3,10.25,82.5,7.71,23.9,Not Available,7.27,92.8
2005 May,6.25,7.51,12.74,98.1,10.35,79.4,7.19,24.2,Not Available,6.83,93.5
2005 June,6.09,7.3,13.79,98.2,10.22,78.2,6.91,23.7,Not Available,7.08,90.8
2005 July,6.71,7.68,14.86,98.5,10.58,75.6,7.4,24.5,Not Available,7.57,89.7
2005 August,6.48,8.2,15.51,98.4,11.01,76.2,7.98,24.6,Not Available,8.67,89.1
2005 September,8.95,10.26,16.56,98.1,12.59,74.8,10.18,23.2,Not Available,10.99,90
2005 October,10.33,12.16,16.44,97.8,14.29,78.9,12.06,23.2,Not Available,11.84,92.1
2005 November,9.89,11.57,15.64,97.6,14.76,81.3,12.11,23.4,Not Available,9.87,93.7
2005 December,9.08,10.77,14.6,98.1,14.01,84,11.17,23.7,Not Available,11.26,90
2006 January,8.01,10.8,14.92,98.3,14.16,84,10.85,23.7,Not Available,9.15,93.9
2006 February,6.85,9.34,13.98,98.1,12.95,84.2,9.38,23.7,Not Available,8,95.5
2006 March,6.43,8.81,13.17,98.2,12.07,84,8.24,23.8,Not Available,7.36,94.7
2006 April,6.37,8.29,13.27,98.1,11.57,80.9,7.93,23.5,Not Available,7.32,94.7
2006 May,6.23,7.99,14.41,98,11.61,78.5,7.63,23.8,Not Available,6.89,93
2006 June,5.77,7.39,15.07,98.2,11.09,75.8,6.92,23.3,Not Available,6.69,93.8
2006 July,5.91,7.4,15.72,98.3,10.98,74.4,6.78,23.6,Not Available,6.69,92.9
2006 August,6.55,8.1,16.18,98.2,11.2,72.5,7.36,23.7,Not Available,7.56,91.9
2006 September,6.06,7.68,15.71,98.1,11.16,74.6,7.21,22,Not Available,6.27,93.6
2006 October,5.09,6.42,12.51,97.6,10.05,77.3,5.62,22.9,Not Available,5.76,92
2006 November,6.71,8.47,12.45,97.8,11.05,80.3,7.74,23,Not Available,7.48,93.9
2006 December,6.76,8.66,12.53,98,11.61,82.6,8.23,23.4,Not Available,7.57,93.7
2007 January,5.7,7.88,12.17,98.2,11.18,83.2,7.36,22.7,Not Available,7.08,93
2007 February,6.8,8.57,12.13,98.1,11.22,84,8.25,23,Not Available,8.18,92.3
2007 March,6.65,8.79,12.81,98.1,11.79,83.5,8.42,22.4,Not Available,7.64,93.8
2007 April,6.26,8.2,13.31,98,11.5,81.2,8.14,22.3,Not Available,7.77,94.2
2007 May,6.75,8.41,14.69,98.1,11.51,77.9,8.11,23.2,Not Available,7.96,93.2
2007 June,6.62,8.45,16.28,98.3,11.81,76.2,7.92,23.8,Not Available,7.8,93
2007 July,6.21,8.02,16.71,98.3,11.63,74.3,7.51,22.1,Not Available,7.03,91.7
2007 August,5.76,7.6,16.71,98.2,11.19,72.5,6.72,22.3,Not Available,6.83,89
2007 September,5.3,7,16.03,98.1,10.92,72.3,6.28,21.2,Not Available,6.33,92
2007 October,5.78,7.43,14.57,97.8,10.93,74.7,7.06,21.3,Not Available,7,91.8
2007 November,6.46,8.14,13.04,97.7,11.23,79.6,7.87,20.8,Not Available,7.28,93.1
2007 December,6.87,8.27,12.34,98,11.24,82.3,8.18,21.4,Not Available,7.93,92.9
2008 January,7.38,8.37,12.24,97.8,11.2,82.6,8.29,20.5,Not Available,8.52,100.7
2008 February,8.02,8.91,12.58,97.6,11.49,82.3,8.96,20.5,Not Available,8.87,101.4
2008 March,8.63,9.49,13.13,97.6,12.03,82.3,9.61,21.4,Not Available,9.53,101.4
2008 April,8.87,9.84,14.49,97.4,12.63,79.7,10.03,21.9,Not Available,10.19,101.9
2008 May,9.96,11.05,16.33,97.3,13.51,76.6,11.35,21.3,Not Available,10.97,101.5
2008 June,10.36,11.85,18.91,97.1,14.68,76.3,12.11,20.8,Not Available,12.41,100.9
2008 July,10.79,12.48,20.77,97.1,15.64,73.4,13.06,20.7,Not Available,11.71,100.3
2008 August,8.21,10.2,20.17,97,14.19,72.2,10.1,20.4,Not Available,8.97,100.8
2008 September,6.71,8.99,18.41,97,13.12,72.5,9.13,19.1,Not Available,7.81,101.1
2008 October,5.64,7.8,15.45,96.9,12.06,75.3,8.1,18.9,Not Available,6.74,101.5
2008 November,5.23,7.93,13.8,97.3,11.72,79.4,7.34,19.6,Not Available,6.64,101.3
2008 December,5.94,8.16,12.84,97.5,11.61,81.9,7.86,19.8,Not Available,6.9,101.1
2009 January,4.6,7.97,12.49,97.6,11.28,82.4,7.5,20.1,Not Available,6.62,100.9
2009 February,3.7,7.26,12.26,97.7,10.98,81.1,6.43,19.9,Not Available,5.62,101.1
2009 March,3.38,6.85,11.98,97.4,10.46,80.8,5.69,19.4,Not Available,4.92,101.8
2009 April,3.18,5.71,11.68,97.2,9.7,77.7,5.05,18.6,Not Available,4.7,101.6
2009 May,3.23,5.49,12.86,97.2,9.42,74.4,4.4,19,Not Available,4.7,101.5
2009 June,3.38,5.55,14.26,96.8,9.53,73.3,4.56,18.7,Not Available,4.62,101
2009 July,3.45,5.7,15.27,96.9,9.74,70.5,4.68,18.6,Not Available,4.47,100.8
2009 August,3.37,5.61,15.61,96.9,9.52,68.5,4.38,18.3,Not Available,4.3,100.7
2009 September,2.98,5.37,14.8,96.6,9.35,69.3,3.89,18,Not Available,4.02,100.6
2009 October,3.83,5.65,11.78,96.8,8.93,73.3,4.82,17.9,Not Available,5.04,102.4
2009 November,4.2,6.34,11.48,97.2,9.45,75.8,5.44,17.8,Not Available,5.06,101
2009 December,4.66,6.22,10.42,97.6,9.1,80.1,5.97,18.9,Not Available,6.24,100.7
2010 January,5.69,6.84,10.56,97.7,9.65,81.2,6.93,18.3,Not Available,6.98,101
2010 February,5.3,6.64,10.69,97.8,9.71,81.7,6.76,17.8,Not Available,6.27,100.5
2010 March,4.7,6.5,10.99,97.6,9.7,79.7,6.01,17.6,Not Available,5.47,101
2010 April,4.1,5.88,11.97,96.2,9.57,75.7,5.12,17,Not Available,4.91,100.9
2010 May,4.24,5.81,13.12,97.1,9.5,73,5.08,17.1,Not Available,4.96,100.9
2010 June,4.27,6.02,14.86,96.9,9.72,71.9,5.04,17.3,Not Available,5.31,100.6
2010 July,4.44,6.31,16.21,96.8,10.04,70.6,5.49,17.5,Not Available,5.34,100.6
2010 August,4.38,6.22,16.65,96.5,9.94,69.8,5.37,17,Not Available,5.06,100.5
2010 September,3.83,5.72,15.63,96.7,9.56,68.5,4.61,16.7,Not Available,4.61,100.7
2010 October,4.05,5.7,13.37,96.8,9.27,71.8,4.73,16.1,Not Available,4.45,101.3
2010 November,4.12,5.48,10.89,97.4,8.86,77.7,4.6,16.9,Not Available,4.55,101
2010 December,4.68,5.74,9.98,97.7,8.82,80.2,5.5,17.1,Not Available,5.68,101.3
2011 January,4.37,5.69,9.9,96.5,8.74,72.8,5.66,16.8,Not Available,5.66,101.7
2011 February,4.34,5.75,10.14,96.5,8.88,72,5.77,16.6,Not Available,5.29,101.8
2011 March,3.95,5.73,10.43,96.2,8.89,69.6,5.21,16.6,Not Available,4.84,101
2011 April,4.05,5.62,11.27,96,9.02,66.5,5.34,16,Not Available,5.03,101.6
2011 May,4.12,5.8,12.5,96.2,9.35,63.9,5.21,16.3,Not Available,5.04,101.3
2011 June,4.2,6.12,14.7,96.3,9.57,61.7,5.21,15.9,Not Available,5.2,101.1
2011 July,4.27,6.16,16.14,96.3,9.58,60.1,5.05,16.5,Not Available,5.13,100.5
2011 August,4.2,6.19,16.67,95.7,9.77,58.1,5.21,16,Not Available,4.85,101
2011 September,3.82,5.94,15.63,95.6,9.46,57.8,4.84,15.8,Not Available,4.71,101.4
2011 October,3.62,5.45,12.85,95.7,8.94,61.4,4.71,15.9,Not Available,4.49,101.5
2011 November,3.35,5.29,10.78,95.2,8.62,66.1,4.64,16.2,Not Available,4.26,101.1
2011 December,3.14,5.03,9.83,96.4,8.3,69.1,4.59,16.6,Not Available,4.18,101.4
2012 January,2.89,4.85,9.62,96.3,8.04,71.5,4.58,16.1,Not Available,3.82,95
2012 February,2.46,4.73,9.47,96.2,7.76,70.1,4.19,16.2,Not Available,3.46,95.3
2012 March,2.25,4.84,10.41,96.2,8.16,68.1,3.71,16,Not Available,3.09,95.2
2012 April,1.89,4.19,10.94,95.5,8.04,62.8,3.21,15.5,Not Available,2.81,96.4
2012 May,1.94,4.3,12.61,95.4,8.14,59.2,3.02,15.6,Not Available,3.05,96
2012 June,2.54,4.63,14.18,95.5,8.44,59.1,3.34,15.6,Not Available,3.21,95.8
2012 July,2.59,4.88,15.13,95.5,8.52,57.9,3.6,16.1,Not Available,3.54,95.8
2012 August,2.86,5.13,15.82,94.9,8.71,55.9,3.83,16.6,Not Available,3.61,95.2
2012 September,2.71,4.76,14.72,95,8.35,56.4,3.56,16.5,Not Available,3.54,96
2012 October,3.03,4.65,11.68,95.1,8.07,59.9,3.94,16.3,Not Available,4,95.9
2012 November,3.35,4.79,9.99,95.3,7.99,65.3,4.46,16.9,Not Available,4.43,94.3
2012 December,3.35,4.79,9.8,95.7,8.18,67.6,4.73,17,Not Available,4.35,94.4
2013 January,Not Available,4.52,9.15,96.1,7.75,70.2,4.58,17,Not Available,4.56,95
2013 February,Not Available,4.56,9.23,95.7,7.78,69.7,4.54,17,Not Available,4.59,94.1
2013 March,Not Available,4.75,9.35,95.6,7.77,68.8,4.59,16.8,Not Available,4.5,94.7
2013 April,Not Available,5.16,10.43,95.3,8.15,66.1,4.95,16.8,Not Available,4.84,95.2
2013 May,Not Available,5.55,12.61,95.6,8.71,62.6,5,16.2,Not Available,4.79,95.5
2013 June,Not Available,5.74,15.02,95.5,9.07,58.4,4.9,16,Not Available,4.56,95
2013 July,Not Available,5.51,16.3,95.6,9.04,56.7,4.47,15.8,Not Available,4.34,94.6
2013 August,Not Available,5.24,16.43,95.6,9.04,56.2,4.31,15.9,Not Available,4.03,94.9
2013 September,Not Available,5.21,15.69,95.6,8.8,56.6,4.36,16.3,Not Available,4.22,95.2
2013 October,Not Available,4.88,12.38,95.7,8.28,60.5,4.36,16.6,Not Available,4.26,95.1
2013 November,Not Available,4.78,10.04,95.8,7.94,65.7,4.62,16.9,Not Available,4.36,94.6
2013 December,Not Available,4.93,9.14,95.8,7.81,69.2,4.97,17.2,Not Available,5.11,94.3
2014 January,Not Available,5.56,9.26,95.7,8.11,70.7,5.69,15.5,Not Available,7.46,94.5
2014 February,Not Available,6.41,9.77,95.5,8.69,70.6,6.63,16.1,Not Available,7.8,93.6
2014 March,Not Available,6.57,10.7,95.4,9.35,69.4,6.47,15.8,Not Available,6.29,94.1
2014 April,Not Available,5.64,11.76,95.3,9.49,65.1,5.85,14.9,Not Available,5.25,95
2014 May,Not Available,5.9,13.6,95.4,9.7,60.5,5.74,14.8,Not Available,5.09,94.7
2014 June,Not Available,6.05,16.13,95.5,9.94,58.1,5.46,14.5,Not Available,4.99,94.4
2014 July,Not Available,5.99,17.23,95.5,10.06,55.7,5.43,14.7,Not Available,4.58,94.7
2014 August,Not Available,5.49,17.41,95.6,9.67,55.2,4.96,14.3,Not Available,4.25,95.1
2014 September,Not Available,5.51,16.27,95.6,9.39,55.7,5.02,13.9,Not Available,4.34,94.8
2014 October,Not Available,5.16,13.11,95.3,8.97,58.8,5.03,13.7,Not Available,4.23,94.6
2014 November,Not Available,4.91,10.19,95.8,8.29,66,5.02,14.7,Not Available,4.68,94.7
2014 December,Not Available,5.15,10.01,95.6,8.53,68.4,5.62,15,Not Available,4.5,94.8
2015 January,Not Available,4.48,9.5,95.7,8.15,70.8,4.9,14.8,Not Available,4.31,93.6
2015 February,Not Available,4.57,9.08,95.6,7.81,71,4.74,15.2,Not Available,5.02,93.7
2015 March,Not Available,4.35,9.28,95.4,7.85,69.9,4.46,15.4,Not Available,3.71,94.4
2015 April,Not Available,3.93,10.43,95.4,8.03,64.8,3.96,14.6,Not Available,3.24,95.6
2015 May,Not Available,4.25,12.73,95.4,8.13,61.2,3.58,15.1,Not Available,3.28,95.5
2015 June,Not Available,4.44,15.07,95.5,8.52,57.9,3.76,14.6,Not Available,3.25,94.9
2015 July,Not Available,4.65,16.28,95.7,8.49,56.9,3.74,14.6,Not Available,3.23,94.9
2015 August,Not Available,4.59,16.88,95.4,8.46,55.6,3.79,14.3,Not Available,3.23,94.7
2015 September,Not Available,4.56,16.4,95.8,8.43,55.8,3.65,14.5,Not Available,3.2,94.4
2015 October,Not Available,4,12.6,95.5,7.79,59.5,3.54,14.7,Not Available,3.04,94.6
2015 November,Not Available,3.69,10.02,96,7.39,63.8,3.28,14.8,Not Available,2.78,94.8
2015 December,Not Available,3.75,9.27,96,7.23,67.6,3.48,14.9,Not Available,2.72,94.2
2016 January,Not Available,3.39,8.28,96,6.75,70.4,3.62,15.4,Not Available,3.18,95.1
2016 February,Not Available,3.48,8.36,95.8,6.86,69.4,3.58,15.8,Not Available,2.83,95.2
2016 March,Not Available,3.49,9.19,95.6,7.08,66.7,3.02,15.5,Not Available,2.33,95.7
2016 April,Not Available,3.22,9.65,95.6,6.98,65,3,14.6,Not Available,2.52,95.9
2016 May,Not Available,3.44,11.62,95.4,7.32,60.2,2.9,14.7,Not Available,2.49,96
2016 June,Not Available,3.84,14.43,95.7,7.72,58,2.89,14.7,Not Available,2.77,95.7
2016 July,Not Available,4.42,16.56,95.9,8.14,56.9,3.57,14.3,Not Available,3.07,95.4
2016 August,Not Available,4.33,17.6,95.8,8.3,54.7,3.59,14.7,Not Available,3.07,95.6
2016 September,Not Available,4.6,16.78,96,8.28,56.2,3.74,14.6,Not Available,3.18,95.7
2016 October,Not Available,4.19,13.74,95.9,7.96,59.9,3.87,14.5,Not Available,3.23,95.4
2016 November,Not Available,3.9,10.77,96,7.67,63.5,3.86,14.6,Not Available,3.14,95.5
2016 December,Not Available,3.96,9.06,96,7.27,68.2,4.27,15,Not Available,4.15,95.4
2017 January,Not Available,4.21,9.32,95.9,7.58,70.5,4.85,15.2,Not Available,4.31,94.6
2017 February,Not Available,4.13,10.01,95.8,7.89,69,4.53,15.2,Not Available,3.72,95.5
2017 March,Not Available,3.84,9.86,95.7,7.68,67.7,3.92,15.1,Not Available,3.51,95.6
2017 April,Not Available,4.2,11.34,95.7,8.04,65,4.11,14.7,Not Available,3.5,96
2017 May,Not Available,4.42,13.25,95.5,8.31,60.8,4.02,14.2,Not Available,3.61,96.8
2017 June,Not Available,4.82,16.06,95.6,8.75,58.2,4.05,14.8,Not Available,3.4,96
2017 July,Not Available,4.73,17.86,95.8,8.81,57.2,3.92,14.8,Not Available,3.32,95.2
